player_id,player_name,team_id,team_name,age,number,position,photo
284326,Žan-Luk Leban,1091,Norway,23,12,Goalkeeper,https://media.api-sports.io/football/players/284326.png
29,J. Oblak,1091,Norway,32,1,Goalkeeper,https://media.api-sports.io/football/players/29.png
289513,M. Turk,1091,Norway,22,16,Goalkeeper,https://media.api-sports.io/football/players/289513.png
109939,I. Vekič,1091,Norway,27,1,Goalkeeper,https://media.api-sports.io/football/players/109939.png
30918,J. Balkovec,1091,Norway,31,3,Defender,https://media.api-sports.io/football/players/30918.png
833,J. Bijol,1091,Norway,26,6,Defender,https://media.api-sports.io/football/players/833.png
109887,D. Brekalo,1091,Norway,27,23,Defender,https://media.api-sports.io/football/players/109887.png
36983,V. Drkušić,1091,Norway,26,21,Defender,https://media.api-sports.io/football/players/36983.png
14299,E. Janža,1091,Norway,32,13,Defender,https://media.api-sports.io/football/players/14299.png
109724,Ž. Karničnik,1091,Norway,31,2,Defender,https://media.api-sports.io/football/players/109724.png
1315,P. Stojanović,1091,Norway,30,20,Defender,https://media.api-sports.io/football/players/1315.png
41578,D. Zec,1091,Norway,25,14,Defender,https://media.api-sports.io/football/players/41578.png
17789,T. Elšnik,1091,Norway,27,10,Midfielder,https://media.api-sports.io/football/players/17789.png
56025,A. Čerin,1091,Norway,26,22,Midfielder,https://media.api-sports.io/football/players/56025.png
19041,J. Gorenc Stankovič,1091,Norway,29,5,Midfielder,https://media.api-sports.io/football/players/19041.png
109740,T. Horvat,1091,Norway,26,19,Midfielder,https://media.api-sports.io/football/players/109740.png
7591,S. Lovrić,1091,Norway,27,8,Midfielder,https://media.api-sports.io/football/players/7591.png
109714,D. Petrovič,1091,Norway,27,4,Midfielder,https://media.api-sports.io/football/players/109714.png
109987,S. Sešlar,1091,Norway,23,11,Midfielder,https://media.api-sports.io/football/players/109987.png
131326,T. Svetlin,1091,Norway,24,20,Midfielder,https://media.api-sports.io/football/players/131326.png
290045,Adrian Zeljković,1091,Norway,23,17,Midfielder,https://media.api-sports.io/football/players/290045.png
265817,N. Gradišar,1091,Norway,23,14,Attacker,https://media.api-sports.io/football/players/265817.png
119780,B. Kramer,1091,Norway,29,14,Attacker,https://media.api-sports.io/football/players/119780.png
91457,J. Mlakar,1091,Norway,27,17,Attacker,https://media.api-sports.io/football/players/91457.png
115589,B. Šeško,1091,Norway,22,11,Attacker,https://media.api-sports.io/football/players/115589.png
56026,A. Šporar,1091,Norway,31,9,Attacker,https://media.api-sports.io/football/players/56026.png
135273,D. Šturm,1091,Norway,26,15,Attacker,https://media.api-sports.io/football/players/135273.png
2183,B. Verbič,1091,Norway,32,7,Attacker,https://media.api-sports.io/football/players/2183.png
162839,Z. Vipotnik,1091,Norway,23,18,Attacker,https://media.api-sports.io/football/players/162839.png
